Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (CT1) ",17.4,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (CT1)",26.0,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CT1) ",26.1,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (AL1) ",17.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (AL1) ",28.0,Poultry Products,0,Medium
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,Poultry Products,0,Medium
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9,Poultry Products,0,Medium
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1,Poultry Products,0,Medium
"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41,"Soups, Sauces, and Gravies",1,Low
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7,Sausages and Luncheon Meats,0,Medium
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.38,Fruits and Fruit Juices,1,Low
"Olives, green, Manzanilla, stuffed with pimiento",1.15,Fruits and Fruit Juices,1,Low
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,Sausages and Luncheon Meats,0,Medium
"Cookies, oatmeal, soft, with raisins",5.79,Baked Products,1,Low
"Tomatoes, canned, red, ripe, diced",0.84,Vegetables and Vegetable Products,1,Low
"Fish, haddock, raw",16.3,Finfish and Shellfish Products,0,Medium
"Fish, pollock, raw",12.3,Finfish and Shellfish Products,1,Low
"Fish, tuna, light, canned in water, drained solids",19.0,Finfish and Shellfish Products,0,Medium
"Sugars, granulated",0.0,Sweets,1,Low
"Restaurant, Chinese, sweet and sour pork",8.88,Restaurant Foods,1,Low
"Restaurant, Chinese, fried rice, without meat",3.84,Restaurant Foods,1,Low
"Restaurant, Latino, tamale, pork",7.38,Restaurant Foods,1,Low
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59,Restaurant Foods,1,Low
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 3, lowerchoice",22.4,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 14, lowerchoice",23.8,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 1, upperchoice",21.7,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 12, upperchoice",23.1,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 13, upperchoice",23.5,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 19, upperchoice",23.0,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 2, upperchoice",22.2,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 24, upperchoice",22.3,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 25, upperchoice",21.9,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 30, upperchoice",23.6,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 31, upperchoice",22.1,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 32, upperchoice",22.3,Beef Products,0,Medium
