Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Beans, Dry, Pinto, 455 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 639 (0% moisture)",21.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 469 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 758 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 355 (0% moisture)",19.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 632 (0% moisture)",18.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 511 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 815 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 325 (0% moisture)",20.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 751 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 349 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 714 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 408 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 711 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 480 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 808 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 499 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 710 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 343 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 764 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 468 (0% moisture)",30.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 773 (0% moisture)",27.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 371 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 669 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 421 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 663 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 340 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 704 (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 362 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 665 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 432 (0% moisture)",27.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 787 (0% moisture)",29.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 336 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 793 (0% moisture)",28.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 466 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 820 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 450 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 801 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 484 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 729 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 322 (0% moisture)",20.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 678 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 494 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 809 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 496 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 727 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 482 (0% moisture)",20.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 647 (0% moisture)",21.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 513 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 660 (0% moisture)",20.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 489 (0% moisture)",20.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 738 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 492 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 650 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 463 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 653 (0% moisture)",20.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 440 (0% moisture)",21.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 709 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 517 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 724 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 454 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 812 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 353 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 692 (0% moisture)",20.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 506 (0% moisture)",27.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 642 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 420 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 795 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 224 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 413 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 621 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 744 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 451 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 691 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 512 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 749 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 388 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 659 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 352 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 802 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 416 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 754 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 333 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 643 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 425 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 708 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 367 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 807 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 324 (0% moisture)",19.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 668 (0% moisture)",19.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 397 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 733 (0% moisture)",19.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 414 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 671 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 428 (0% moisture)",20.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 681 (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 459 (0% moisture)",20.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 775 (0% moisture)",20.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 390 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 631 (0% moisture)",21.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 410 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 782 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 381 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 781 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 515 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 740 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 383 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 810 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 520 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 686 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 372 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 791 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 475 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 677 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 329 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 682 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 393 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 705 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 328 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 630 (0% moisture)",21.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8014 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8142 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8021 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8111 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8009 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8153 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8017 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8169 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8073 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8154 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8011 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8115 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8050 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8161 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8033 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8199 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8056 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 11F-8137 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 400 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 772 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 470 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 798 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 431 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 813 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 505 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 731 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 509 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 690 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 500 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 769 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 417 (0% moisture)",27.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 674 (0% moisture)",27.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 409 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 806 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 419 (0% moisture)",28.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 799 (0% moisture)",28.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 344 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 698 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 376 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 685 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 491 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 673 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 357 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 760 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 240 (0% moisture)",20.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 330 (0% moisture)",20.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 606 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 797 (0% moisture)",20.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 488 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 722 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 473 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 804 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 405 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 755 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 487 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 646 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 508 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 670 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 374 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 746 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 370 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 786 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 347 (0% moisture)",21.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 649 (0% moisture)",21.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 403 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 759 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 332 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 635 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 493 (0% moisture)",20.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 811 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 439 (0% moisture)",20.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 774 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 369 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 785 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 471 (0% moisture)",20.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 757 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 323 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red, 703 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Medium Red, 490 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Medium Red, 756 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Medium Red (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Cranberry, 11F-8022 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Cranberry, 11F-8131 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Cranberry, 378 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Cranberry, 750 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Cranberry (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Tan, 11F-8086 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Tan, 11F-8174 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Tan (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8045 (0% moisture)",26.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8177 (0% moisture)",26.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8036 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8122 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8003 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8117 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8016 (0% moisture)",21.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8112 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8013 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8180 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8039 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8116 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8023 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8168 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8062 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8150 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8046 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8146 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8000 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8129 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8044 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8158 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8029 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8119 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8002 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8135 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8020 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8140 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8015 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 11F-8123 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 348 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 737 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 298 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 533 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 331 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 745 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 244 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 604 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 250 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 583 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 269 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 566 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 296 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 611 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 276 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 624 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 303 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 617 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 221 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 602 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 305 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 553 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 304 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 601 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 274 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 526 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 232 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 534 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 219 (0% moisture)",21.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 580 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 254 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 542 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 424 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 267 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 767 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 569 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 249 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 590 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 282 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 597 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 247 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 619 (0% moisture)",26.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 222 (0% moisture)",21.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 608 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 225 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 573 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 248 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 607 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 223 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 522 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 314 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 531 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 215 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 615 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 310 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 536 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 318 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 537 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 271 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 545 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 278 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 552 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
